location [m],radius [m],hg [W/m^2-K],soot [W/m^2-K],radiation [W/m^2],Taw [K]
0,0.07747,0,1763,202030,3363.049287
0.00485,0.07747,0,1763,202030,3363.049287
0.00969,0.07747,191,1763,202030,3363.049287
0.01454,0.07747,362,1763,200063,3363.306722
0.01939,0.07747,440,1763,195725,3363.021863
0.02423,0.07747,481,1763,189893,3363.339293
0.02908,0.07747,541,1763,182303,3363.588869
0.03392,0.07747,626,1763,176800,3363.17332
0.03877,0.07747,703,1763,173446,3363.193842
0.04362,0.07747,739,1763,174752,3363.425261
0.04846,0.07747,751,1763,176834,3363.175087
0.05331,0.07747,754,1763,179115,3363.165025
0.05816,0.07747,755,1763,180585,3363.438913
0.063,0.07747,755,1763,180590,3363.450126
0.06785,0.07747,755,1763,180519,3363.51772
0.0727,0.07747,755,1763,180571,3363.210596
0.07754,0.07747,755,1763,180616,3363.425315
0.08239,0.07747,755,1763,180679,3363.425302
0.08724,0.07747,755,1763,180707,3363.385865
0.09208,0.07747,755,1763,181304,3363.435335
0.09693,0.07747,754,1763,181248,3363.359038
0.10177,0.07747,754,1763,181119,3363.507692
0.10662,0.07747,754,1763,181056,3363.200297
0.11147,0.07747,754,1763,180258,3363.183543
0.11631,0.07747,753,1763,180749,3363.361694
0.12116,0.07747,753,1763,180115,3363.353869
0.12601,0.07747,753,1763,180311,3363.276066
0.13085,0.07747,752,1763,180095,3363.334312
0.1357,0.07747,752,1763,180068,3363.22159
0.14055,0.07747,752,1763,179937,3363.402552
0.14539,0.07747,752,1763,180387,3363.24961
0.15024,0.07747,751,1763,180595,3363.488765
0.15508,0.07747,751,1763,180419,3363.201113
0.15993,0.07747,751,1763,180553,3363.231092
0.16478,0.07747,751,1763,180338,3363.419676
0.16962,0.07747,751,1763,180337,3363.333511
0.17447,0.07747,750,1763,179697,3363.503954
0.17932,0.07747,750,1763,180277,3363.520533
0.18416,0.07747,750,1763,179642,3363.335092
0.18901,0.07747,750,1763,180267,3363.447449
0.19386,0.07747,749,1763,179454,3363.341793
0.1987,0.07747,749,1763,179512,3363.238857
0.20355,0.07747,749,1763,179555,3363.286676
0.20839,0.07747,749,1763,179531,3363.177612
0.21324,0.07747,749,1763,179939,3363.266626
0.21809,0.07747,748,1763,179858,3363.20023
0.22293,0.07747,748,1763,179746,3363.253534
0.22778,0.07747,748,1763,179631,3363.33246
0.23263,0.07747,748,1763,179838,3363.304686
0.23747,0.07747,748,1763,179354,3363.446271
0.24232,0.07747,747,1763,179582,3363.3746
0.24717,0.07747,747,1763,179644,3363.171653
0.25,0.07747,747,1763,179101,3363.467085
0.25,0.07747,1154,1763,110545,3363.379027
0.25242,0.0751,1220,1763,110002,3363.298684
0.25484,0.07267,1292,1763,107321,3363.140164
0.25727,0.07025,1371,1763,105382,3363.046237
0.25969,0.06783,1458,1763,103250,3362.924249
0.26211,0.0654,1554,1763,101297,3362.778233
0.26454,0.06298,1659,1763,97331,3362.547792
0.26696,0.06056,1775,1763,93797,3362.310412
0.26938,0.05814,1904,1763,92782,3362.035886
0.27181,0.05571,2047,1763,86898,3361.642823
0.27423,0.05329,2207,1764,82843,3361.147678
0.27665,0.05087,2385,1885,79966,3360.494278
0.27908,0.04844,2584,2062,73191,3359.64273
0.2815,0.04602,2805,2269,70124,3358.470214
0.28392,0.0436,3050,2452,62825,3356.705168
0.28635,0.04145,3285,2573,54977,3354.300287
0.28877,0.03991,3455,2633,47217,3351.574162
0.29119,0.03883,3565,2654,41140,3348.486199
0.29362,0.03813,3616,2668,35652,3345.010524
0.29604,0.03776,3609,2675,31530,3341.144845
0.29763,0.0377,3573,2676,28920,3338.402799
0.30248,0.03852,3278,2660,19635,3327.414755
0.30732,0.03998,2755,2632,15064,3320.78496
0.31217,0.04141,2539,2603,10786,3314.425427
0.31702,0.04281,2354,2575,7434,3308.948516
0.32186,0.04419,2195,2546,4913,3304.281832
0.32671,0.04553,2056,2519,3783,3300.151012
0.33155,0.04685,1934,2491,3025,3296.539988
0.3364,0.04814,1825,2461,2688,3293.220347
0.34125,0.0494,1727,2426,1407,3290.228045
0.34609,0.05063,1640,2392,961,3287.488301
0.35094,0.05183,1561,2367,231,3284.941524
0.35579,0.05301,1489,2343,1,3282.559342
0.36063,0.05415,1425,2325,4,3280.488739
0.36548,0.05527,1365,2309,0,3278.443791
0.37033,0.05636,1311,2290,0,3276.459786
0.37517,0.05742,1265,2268,0,3274.688472
0.38002,0.05845,1219,2246,0,3272.971329
0.38487,0.05945,1177,2232,0,3271.336055
0.38971,0.06043,1138,2218,0,3269.864732
0.39456,0.06137,1102,2201,0,3268.460236
0.3994,0.06229,1069,2181,0,3267.107588
0.40425,0.06318,1038,2163,0,3265.837071
0.4091,0.06404,1010,2151,0,3264.652912
0.41394,0.06487,983,2139,0,3263.505176
0.41879,0.06567,958,2128,0,3262.417973
0.42364,0.06644,935,2117,0,3261.395779
0.42848,0.06719,914,2106,0,3260.488994